HATS_F11_YYYY,HATS_F11_MM,HATS_NH_F11,HATS_NH_F11_sd,HATS_SH_F11,HATS_SH_F11_sd,HATS_Global_F11,HATS_Global_F11_sd,HATS_alt_F11,HATS_alt_F11_sd,HATS_sum_F11,HATS_sum_F11_sd,HATS_brw_F11,HATS_brw_F11_sd,HATS_mhd_F11,HATS_mhd_F11_sd,HATS_thd_F11,HATS_thd_F11_sd,HATS_nwr_F11,HATS_nwr_F11_sd,HATS_kum_F11,HATS_kum_F11_sd,HATS_mlo_F11,HATS_mlo_F11_sd,HATS_smo_F11,HATS_smo_F11_sd,HATS_cgo_F11,HATS_cgo_F11_sd,HATS_psa_F11,HATS_psa_F11_sd,HATS_spo_F11,HATS_spo_F11_sd,HATS_F11_Programs
1977,2,147.894,10.102,nan,nan,nan,nan,nan,nan,nan,nan,152.185,3.460,nan,nan,nan,nan,153.722,12.930,nan,nan,142.188,8.340,nan,nan,nan,nan,nan,nan,133.774,3.500,100000
1977,3,146.323,4.196,nan,nan,nan,nan,nan,nan,nan,nan,149.912,0.530,nan,nan,nan,nan,152.000,3.270,nan,nan,140.899,5.210,nan,nan,nan,nan,nan,nan,135.166,1.772,100000
1977,4,145.207,6.494,nan,nan,nan,nan,nan,nan,nan,nan,148.377,1.140,nan,nan,nan,nan,150.542,2.053,nan,nan,140.156,9.070,nan,nan,nan,nan,nan,nan,136.608,2.326,100000
1977,5,144.583,10.811,nan,nan,nan,nan,nan,nan,nan,nan,147.838,5.440,nan,nan,nan,nan,149.393,12.890,nan,nan,139.939,9.830,nan,nan,nan,nan,nan,nan,138.179,2.874,100000
1977,6,144.931,5.564,nan,nan,nan,nan,nan,nan,nan,nan,148.250,3.250,nan,nan,nan,nan,149.303,1.397,nan,nan,140.627,7.690,nan,nan,nan,nan,nan,nan,139.381,3.377,100000
1977,7,145.662,3.903,nan,nan,nan,nan,nan,nan,nan,nan,147.942,1.384,nan,nan,nan,nan,149.354,4.100,nan,nan,142.147,4.120,nan,nan,nan,nan,nan,nan,140.059,3.820,100000
1977,8,146.496,5.714,136.783,4.922,141.639,7.541,nan,nan,nan,nan,148.237,2.120,nan,nan,nan,nan,149.531,8.500,nan,nan,143.636,2.620,135.966,5.060,nan,nan,nan,nan,140.677,4.201,100000
1977,9,147.674,1.768,136.669,5.273,142.171,5.561,nan,nan,nan,nan,150.674,2.370,nan,nan,nan,nan,150.534,2.072,nan,nan,144.671,1.270,135.652,5.420,nan,nan,nan,nan,141.511,4.504,100000
1977,10,149.084,3.150,136.847,3.884,142.965,5.000,nan,nan,nan,nan,153.977,1.590,nan,nan,nan,nan,151.918,2.190,nan,nan,145.672,3.970,135.707,3.680,nan,nan,nan,nan,142.277,4.735,100000
1977,11,150.116,2.786,137.337,6.769,143.727,7.320,nan,nan,nan,nan,156.634,1.700,nan,nan,nan,nan,152.561,2.400,nan,nan,146.652,3.240,136.135,7.100,nan,nan,nan,nan,143.063,4.892,100000
1977,12,150.740,2.878,138.073,5.329,144.406,6.056,nan,nan,nan,nan,158.096,1.120,nan,nan,nan,nan,152.714,3.770,nan,nan,147.469,2.250,136.856,5.400,nan,nan,nan,nan,143.872,4.975,100000
1978,1,151.261,3.528,139.259,7.949,145.260,8.696,nan,nan,nan,nan,158.601,2.770,nan,nan,nan,nan,153.058,1.460,nan,nan,148.137,4.680,138.120,8.440,nan,nan,nan,nan,144.682,4.982,100000
1978,2,151.847,4.377,140.924,4.870,146.385,6.548,nan,nan,nan,nan,158.698,5.490,nan,nan,nan,nan,153.803,2.370,nan,nan,148.704,5.260,139.966,4.860,nan,nan,nan,nan,145.489,4.918,100000
1978,3,152.562,4.697,142.508,9.930,147.535,10.984,nan,nan,nan,nan,158.763,2.390,nan,nan,nan,nan,155.035,4.050,nan,nan,149.147,5.510,141.727,10.700,nan,nan,nan,nan,146.228,4.784,100000
1978,4,153.337,3.285,143.433,7.325,148.385,8.028,nan,nan,nan,nan,158.692,3.180,nan,nan,nan,nan,156.376,2.292,nan,nan,149.655,3.930,142.706,7.780,nan,nan,nan,nan,146.894,4.572,100000
1978,5,154.165,4.188,143.909,4.199,149.037,5.930,nan,nan,nan,nan,158.488,2.260,nan,nan,nan,nan,157.416,6.150,nan,nan,150.545,1.970,143.093,4.180,nan,nan,nan,nan,147.798,4.287,100000
1978,6,155.141,4.801,144.172,2.950,149.657,5.635,nan,nan,nan,nan,158.475,1.610,nan,nan,nan,nan,158.352,7.010,nan,nan,151.777,2.550,143.181,2.700,nan,nan,nan,nan,148.894,3.930,100000
1978,7,156.302,4.224,144.487,3.395,150.394,5.419,nan,nan,nan,nan,159.038,2.820,nan,nan,nan,nan,159.533,3.890,nan,nan,153.057,4.720,143.341,3.440,nan,nan,nan,nan,149.945,3.171,100000
1978,8,157.641,4.437,145.304,5.149,151.472,6.797,nan,nan,nan,nan,160.589,1.940,nan,nan,nan,nan,161.039,4.760,nan,nan,154.212,4.570,144.057,5.320,nan,nan,nan,nan,151.244,4.240,100000
1978,9,158.953,3.237,146.584,3.881,152.768,5.054,nan,nan,nan,nan,163.306,3.770,nan,nan,nan,nan,162.482,4.000,nan,nan,155.099,2.270,145.259,4.160,nan,nan,nan,nan,152.899,2.095,100000
1978,10,159.672,2.862,147.858,5.282,153.765,6.007,nan,nan,nan,nan,166.162,2.860,nan,nan,nan,nan,162.876,2.540,nan,nan,155.598,3.100,146.496,5.760,nan,nan,nan,nan,154.347,1.652,100000
1978,11,159.617,1.666,149.188,3.422,154.403,3.806,nan,nan,nan,nan,167.722,1.780,nan,nan,nan,nan,161.751,1.640,nan,nan,156.047,1.660,147.875,3.600,nan,nan,nan,nan,155.447,2.400,100000
1978,12,159.639,3.398,150.667,4.394,155.153,5.555,nan,nan,nan,nan,168.177,9.040,nan,nan,nan,nan,160.522,1.200,nan,nan,156.986,1.960,149.516,4.820,nan,nan,nan,nan,156.152,0.790,100000
1979,1,160.306,3.593,151.862,11.887,156.084,12.418,nan,nan,nan,nan,168.464,3.660,nan,nan,nan,nan,160.494,2.150,nan,nan,158.303,4.420,150.997,4.820,nan,nan,nan,nan,155.980,26.530,100000
1979,2,161.159,3.416,152.576,7.197,156.867,7.967,nan,nan,nan,nan,168.645,1.770,nan,nan,nan,nan,161.317,4.110,nan,nan,159.333,3.060,151.989,4.860,nan,nan,nan,nan,155.373,13.640,100000
1979,3,161.662,5.897,152.835,6.622,157.248,8.867,nan,nan,nan,nan,168.829,8.860,nan,nan,nan,nan,162.225,7.650,nan,nan,159.580,2.360,152.337,7.120,nan,nan,nan,nan,155.204,3.356,100000
1979,4,161.810,2.710,152.725,4.058,157.267,4.880,nan,nan,nan,nan,168.976,1.670,nan,nan,nan,nan,162.942,2.970,nan,nan,159.266,2.680,152.147,4.080,nan,nan,nan,nan,155.476,3.950,100000
